N,MAF,N_o,pheno_overlap,NITER,test_methods,K,V,U,HERIT,SHRINKAGE
2e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U102,continuous,-1
2e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U102,continuous,-1
2e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U103,continuous,-1
2e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U103,continuous,-1
2e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U103,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U101,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U101,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U101,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U102,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U102,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U102,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U103,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U103,continuous,-1
1e+05,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U103,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U101,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U101,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U101,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U102,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U102,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U102,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U103,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U103,continuous,-1
50000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U103,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U101,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U101,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U101,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U102,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U102,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U102,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U103,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U103,continuous,-1
10000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U103,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U101,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U101,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U101,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U102,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U102,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U102,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V101,U103,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V102,U103,continuous,-1
5000,mix_eur,none,none,10,PCA:backfit:FLASH_SE:FLASH_SE_kroneker:PCA_chooseK:GLEANER_glmnet:GLEANER_glmnet_noCovar:SVD_whiten:SVD_beta:FactorGo,5,V103,U103,continuous,-1
